agent1,agent2,id,duration,total_duration,bond_type,time
76,87,733,0,23,'Sex',61
46,95,742,1,22,'Sex',61
7,101,749,2,21,'Sex',61
23,97,758,2,20,'Sex',61
103,21,760,1,19,'Sex',61
103,96,762,4,22,'Sex',61
24,8,764,6,23,'Sex',61
51,25,769,2,18,'Sex',61
12,14,782,9,23,'Sex',61
48,9,790,3,17,'Sex',61
69,63,798,3,17,'Sex',61
81,62,802,0,14,'Sex',61
100,53,805,7,21,'Sex',61
73,100,813,7,21,'Sex',61
104,78,815,6,20,'Sex',61
26,76,820,11,23,'Sex',61
43,49,822,11,23,'Sex',61
15,43,832,11,22,'Sex',61
34,53,834,0,11,'Sex',61
72,90,841,3,14,'Sex',61
104,65,845,8,19,'Sex',61
55,104,848,5,15,'Sex',61
97,87,850,3,13,'Sex',61
12,38,851,1,11,'Sex',61
66,85,856,14,23,'Sex',61
76,97,858,2,11,'Sex',61
47,76,862,5,13,'Sex',61
73,65,863,8,16,'Sex',61
101,15,865,7,15,'Sex',61
104,40,866,5,13,'Sex',61
68,106,870,11,18,'Sex',61
16,68,873,4,10,'Sex',61
26,38,874,13,19,'Sex',61
32,38,875,10,16,'Sex',61
53,78,876,16,22,'Sex',61
69,32,877,9,15,'Sex',61
104,42,878,14,20,'Sex',61
4,56,879,11,16,'Sex',61
9,103,884,3,7,'Sex',61
17,73,886,5,9,'Sex',61
4,10,893,11,14,'Sex',61
63,66,899,3,6,'Sex',61
70,63,900,17,20,'Sex',61
94,9,902,6,9,'Sex',61
104,80,903,3,6,'Sex',61
10,21,905,3,5,'Sex',61
18,59,906,0,2,'Sex',61
19,10,907,8,10,'Sex',61
20,18,908,14,16,'Sex',61
24,87,909,5,7,'Sex',61
25,16,910,0,2,'Sex',61
35,88,912,6,8,'Sex',61
36,52,913,13,15,'Sex',61
42,24,914,17,19,'Sex',61
52,42,916,0,2,'Sex',61
84,87,921,16,18,'Sex',61
92,75,923,0,2,'Sex',61
105,19,925,21,23,'Sex',61
25,20,926,7,9,'Sex',61
36,31,927,0,2,'Sex',61
51,75,928,5,7,'Sex',61
52,105,929,9,11,'Sex',61
71,51,930,7,9,'Sex',61
82,93,931,0,2,'Sex',61
92,52,933,3,5,'Sex',61
25,67,934,0,2,'Sex',61
17,35,935,0,1,'Sex',61
80,92,936,14,15,'Sex',61
1,101,1095,4,22,'Sex',95
78,74,1101,2,20,'Sex',95
86,9,1102,2,20,'Sex',95
14,37,1106,3,20,'Sex',95
48,86,1127,6,21,'Sex',95
102,12,1131,6,21,'Sex',95
72,92,1139,7,21,'Sex',95
21,67,1141,8,22,'Sex',95
35,21,1144,7,20,'Sex',95
32,20,1161,11,23,'Sex',95
33,94,1162,10,22,'Sex',95
36,18,1163,1,13,'Sex',95
44,104,1164,3,15,'Sex',95
49,47,1165,2,14,'Sex',95
60,4,1169,7,19,'Sex',95
63,93,1171,3,15,'Sex',95
82,52,1172,5,17,'Sex',95
107,15,1177,5,17,'Sex',95
6,32,1178,1,13,'Sex',95
106,91,1187,6,18,'Sex',95
82,84,1190,11,23,'Sex',95
31,107,1195,6,16,'Sex',95
105,22,1198,5,15,'Sex',95
75,66,1206,12,21,'Sex',95
19,39,1209,9,18,'Sex',95
1,32,1211,11,19,'Sex',95
18,1,1212,13,21,'Sex',95
40,26,1215,3,11,'Sex',95
93,80,1220,3,11,'Sex',95
105,19,1221,11,19,'Sex',95
8,95,1226,13,20,'Sex',95
14,73,1228,0,7,'Sex',95
97,93,1231,0,7,'Sex',95
27,14,1235,7,13,'Sex',95
76,103,1237,1,7,'Sex',95
88,62,1238,15,21,'Sex',95
20,76,1240,8,13,'Sex',95
22,49,1241,14,19,'Sex',95
60,97,1243,4,9,'Sex',95
102,90,1249,15,19,'Sex',95
10,19,1251,5,8,'Sex',95
11,10,1252,16,19,'Sex',95
25,56,1253,7,10,'Sex',95
50,20,1254,0,3,'Sex',95
82,50,1257,19,22,'Sex',95
90,109,1259,1,4,'Sex',95
105,56,1260,1,4,'Sex',95
7,87,1262,18,20,'Sex',95
12,18,1263,5,7,'Sex',95
16,80,1264,8,10,'Sex',95
17,18,1265,0,2,'Sex',95
19,63,1266,0,2,'Sex',95
26,50,1267,14,16,'Sex',95
28,17,1268,7,9,'Sex',95
33,63,1269,20,22,'Sex',95
58,60,1270,0,2,'Sex',95
103,28,1271,5,7,'Sex',95
106,90,1273,12,14,'Sex',95
108,65,1274,21,23,'Sex',95
5,39,1275,18,19,'Sex',95
6,102,1276,0,1,'Sex',95
22,31,1277,0,1,'Sex',95
23,57,1278,5,6,'Sex',95
38,28,1279,15,16,'Sex',95
62,106,1280,1,2,'Sex',95
84,108,1281,8,9,'Sex',95
86,84,1282,10,11,'Sex',95
6,38,1283,3,4,'Sex',95
76,87,733,2,23,'Sex',59
46,95,742,3,22,'Sex',59
7,101,749,4,21,'Sex',59
23,97,758,4,20,'Sex',59
103,21,760,3,19,'Sex',59
103,96,762,6,22,'Sex',59
24,8,764,8,23,'Sex',59
51,25,769,4,18,'Sex',59
74,76,772,1,15,'Sex',59
12,14,782,11,23,'Sex',59
48,9,790,5,17,'Sex',59
69,63,798,5,17,'Sex',59
81,62,802,2,14,'Sex',59
100,53,805,9,21,'Sex',59
69,87,812,1,13,'Sex',59
73,100,813,9,21,'Sex',59
104,78,815,8,20,'Sex',59
26,76,820,13,23,'Sex',59
43,49,822,13,23,'Sex',59
43,35,830,1,11,'Sex',59
15,43,832,13,22,'Sex',59
34,53,834,2,11,'Sex',59
72,90,841,5,14,'Sex',59
104,65,845,10,19,'Sex',59
55,104,848,7,15,'Sex',59
97,87,850,5,13,'Sex',59
12,38,851,3,11,'Sex',59
6,49,852,1,8,'Sex',59
62,86,854,1,8,'Sex',59
66,85,856,16,23,'Sex',59
76,97,858,4,11,'Sex',59
47,76,862,7,13,'Sex',59
73,65,863,10,16,'Sex',59
78,86,864,1,7,'Sex',59
101,15,865,9,15,'Sex',59
104,40,866,7,13,'Sex',59
20,44,868,1,6,'Sex',59
56,12,869,1,6,'Sex',59
68,106,870,13,18,'Sex',59
16,68,873,6,10,'Sex',59
26,38,874,15,19,'Sex',59
32,38,875,12,16,'Sex',59
53,78,876,18,22,'Sex',59
69,32,877,11,15,'Sex',59
104,42,878,16,20,'Sex',59
4,56,879,13,16,'Sex',59
7,48,883,0,2,'Sex',59
9,103,884,5,7,'Sex',59
15,65,885,0,2,'Sex',59
